SPECIES	BARK_VOL_PCT	WOOD_SPGR	BARK_SPGR	MC_WOOD	MC_BARK
374	10.98	0.51	0.58	73.80	54.80
375	12.60	0.48	0.56	73.60	51.67
377	10.98	0.51	0.58	73.80	54.80
378	10.98	0.51	0.58	73.80	54.80
379	12.60	0.45	0.55	63.82	63.16
381	15.16	0.52	0.53	75.13	80.49
391	8.60	0.58	0.55	46.44	89.40
400	16.00	0.62	0.62	68.88	56.74
401	16.00	0.61	0.60	83.90	60.25
402	16.00	0.60	0.60	70.93	60.25
403	16.00	0.66	0.60	65.10	60.25
404	16.00	0.60	0.60	65.60	60.25
405	16.00	0.62	0.60	65.41	60.25
406	16.00	0.56	0.60	77.42	60.25
407	16.00	0.64	0.72	60.25	33.54
408	16.00	0.62	0.62	68.88	56.74
409	16.00	0.64	0.60	62.76	60.25
410	16.00	0.62	0.62	68.88	56.74
411	16.00	0.62	0.62	68.88	56.74
412	16.00	0.62	0.62	68.88	56.74
413	16.00	0.62	0.62	68.88	56.74
420	15.00	0.40	0.50	120.00	89.00
462	15.00	0.49	0.49	63.53	89.69
463	15.00	0.49	0.49	64.00	90.00
471	15.16	0.52	0.53	75.13	80.49
475	15.16	0.52	0.53	75.13	80.49
481	15.16	0.52	0.53	75.13	80.49
490	15.00	0.61	0.58	39.50	91.00
491	15.00	0.64	0.58	32.71	90.65
492	15.00	0.58	0.58	46.44	90.65
500	15.16	0.52	0.53	75.13	80.49
501	15.16	0.52	0.53	75.13	80.49
502	15.16	0.52	0.53	75.13	80.49
503	15.16	0.52	0.53	75.13	80.49
504	15.16	0.52	0.53	75.13	80.49
505	15.16	0.52	0.53	75.13	80.49
506	15.16	0.52	0.53	75.13	80.49
507	15.16	0.52	0.53	75.13	80.49
508	15.16	0.52	0.53	75.13	80.49
509	15.16	0.52	0.53	75.13	80.49
510	15.16	0.52	0.53	75.13	80.49
511	15.16	0.52	0.53	75.13	80.49
512	15.16	0.52	0.53	75.13	80.49
513	15.16	0.52	0.53	75.13	80.49
514	15.16	0.52	0.53	75.13	80.49
520	15.00	0.64	0.50	58.00	89.00
521	15.00	0.64	0.50	57.75	89.10
522	15.00	0.64	0.50	58.00	89.00
523	15.16	0.52	0.53	75.13	80.49
531	6.00	0.56	0.67	54.53	88.95
540	16.00	0.51	0.46	61.00	86.00
541	16.00	0.55	0.50	45.69	89.10
542	16.00	0.50	0.50	60.26	89.10
543	16.00	0.45	0.43	85.17	90.06
544	16.00	0.53	0.48	57.22	70.27
545	16.00	0.48	0.45	66.93	88.75
546	16.00	0.53	0.39	51.18	89.02
547	16.00	0.51	0.46	61.00	86.00
548	16.00	0.51	0.46	61.00	86.00
549	16.00	0.51	0.46	61.00	86.00
550	15.00	0.60	0.50	60.00	89.00
551	15.00	0.60	0.50	60.00	89.00
552	15.00	0.60	0.50	60.25	89.10
555	15.16	0.52	0.53	75.13	80.49
561	15.16	0.52	0.53	75.13	80.49
571	15.00	0.53	0.50	51.18	60.26
580	15.00	0.42	0.50	67.88	89.10
581	15.00	0.42	0.50	68.00	89.00
582	15.00	0.42	0.50	68.00	89.00
583	15.00	0.42	0.50	68.00	89.00
